"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Beta","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","X.ticker."
"301","DTE",2.82718096625395,0.808041755267736,0.129483922929187,20,113.07,39.9691440924615,0.693282608440309,"DTE Energy Company","2023-05-08 16:03:39",23290316800,5.65,2.1885228,206108992,"USD","2022-12-31",33000000,NA,2182000000,942000000,1023000000,4180000000,330000000,28856000000,7158000000,42683000000,1604000000,1116000000,1116000000,16862000000,10168000000,5173000000,32282000000,6651000000,3808000000,-62000000,-62000000,10397000000,8238000000,1993000000,166000000,NA,NA,4139000000,4000000,"DTE"
"302","WY",2.02677522076472,1.57816091954023,0.416628736155363,17.397661,29.79,14.678490664977,1.27356758426874,"Weyerhaeuser Company","2023-05-08 16:00:01",21785806848,1.71,2.16285,732296000,"USD","2022-12-31",1581000000,NA,399000000,550000000,216000000,2746000000,NA,14313000000,281000000,17340000000,247000000,982000000,23000000,4071000000,684000000,1740000000,6591000000,916000000,2389000000,7444000000,7444000000,10749000000,10749000000,NA,NA,8000000,NA,NA,NA,"WY"
"303","ETR",1.79555430473828,0.642917038166736,0.0903762007406211,19.509125,107.15,59.5415046867758,0.677542225898592,"Entergy Corporation","2023-05-08 16:00:02",22605692928,5.48,1.7311399,211446000,"USD","2022-12-31",224164000,NA,1495257000,1330940000,886054000,4095026000,102259000,42843529000,11177205000,58595191000,1777590000,2291849000,1084700000,23606402000,15128169000,6369447000,45310889000,2797000,10502041000,-5170748000,-191754000,12966985000,12589813000,377172000,NA,84100000,7632895000,6277482000,317317000,"ETR"
"304","DAL",-2.39887829924697,0.501580570547417,0.198018445804036,11.593221,34.2,-14.2566636856553,1.31571216919458,"Delta Air Lines, Inc.","2023-05-08 16:00:02",21980921856,2.95,3.5558329,642716992,"USD","2022-12-31",3266000000,3268000000,3176000000,1424000000,138000000,13011000000,2128000000,39078000000,2326000000,72288000000,5106000000,2055000000,11641000000,19326000000,12229000000,25940000000,65706000000,NA,1170000000,-6114000000,-5801000000,6582000000,-9163000000,9753000000,5992000000,325000000,11526000000,NA,NA,"DAL"
"305","ENPH",45.3661853942948,3.54779628936149,1.00246335624762,45.611732,0,3.59937684247395,1.66344630358394,"Enphase Energy, Inc.","2023-05-08 16:00:04",22377914368,3.58,23.0603,137044000,"USD","2022-12-31",473244000,1139599000,475226000,149708000,NA,2264271000,56777000,113546000,317386000,3084280000,125085000,90892000,169642000,1199465000,401946000,638219000,2258707000,1000,17335000,-10882000,-10882000,825573000,493273000,213559000,118741000,204872000,819119000,NA,NA,"ENPH"
"306","EQR",2.14287846141565,0.288988353291308,0.0188223746699369,26.686441,63.76,29.390372877431,1.19418922438876,"Equity Residential","2023-05-08 16:00:02",23863435264,2.36,2.149855,378904992,"USD","2022-12-31",53869000,NA,23144000,NA,83303000,160316000,279024000,19463293000,315629000,20218262000,96028000,NA,244621000,7295767000,375881000,554749000,8517310000,3784000,1658837000,-2547000,-2547000,11136159000,11136159000,NA,NA,NA,9476085000,NA,527513000,"EQR"
"307","FE",4.92352619173263,0.610156644770086,0.068095305230509,55.05634,40.53,7.93943139761477,0.711161758770897,"FirstEnergy Corp.","2023-05-08 16:03:15",22392197120,0.71,2.1839209,572836992,"USD","2022-12-31",160000000,NA,1571000000,421000000,96000000,2415000000,356000000,36547000000,1172000000,46108000000,1503000000,345000000,1430000000,21186000000,10057000000,3958000000,35465000000,57000000,-1199000000,-14000000,-14000000,10166000000,4548000000,5618000000,NA,NA,11322000000,33000000,477000000,"FE"
"308","CAH",-2.60018260494123,1.07806873977087,0.73871792571326,49.5,84.16,-32.3631117225851,0.773204401790364,"Cardinal Health, Inc.","2023-05-08 16:00:01",21680322560,1.7,-32.402775,257639008,"USD","2022-06-30",4717000000,NA,10573000000,15636000000,36000000,32935000000,NA,2818000000,496000000,43878000000,27128000000,600000000,535000000,4686000000,8911000000,30550000000,44584000000,2813000000,-280000000,-3242000000,-114000000,-709000000,-8338000000,5855000000,1774000000,36000000,NA,NA,3000000,"CAH"
"309","PPL",1.8559780841994,0.745315386645553,0.118065136502362,29.17347,28.74,15.4045282855034,0.695981532340719,"PPL Corporation","2023-05-08 16:00:01",21072775168,0.98,1.5131788,737056000,"USD","2022-12-31",356000000,NA,1598000000,443000000,335000000,2824000000,NA,30298000000,2154000000,37837000000,1201000000,355000000,1078000000,12955000000,7133000000,3789000000,23919000000,8000000,2681000000,-1091000000,-124000000,13915000000,11354000000,2248000000,313000000,6000000,12317000000,1819000000,3000000,"PPL"
"310","ALB",3.58893352882035,1.89233440896894,0.713893340949052,8.012069,187.5,51.808881576143,1.30636362534079,"Albemarle Corporation","2023-05-08 16:00:01",21810415616,23.2,2.7283137,117299000,"USD","2022-12-31",1499142000,NA,1448584000,2076031000,6724000,5186917000,1150553000,7091170000,122385000,15456522000,2052001000,NA,255784000,3140563000,1210419000,2741015000,7265675000,1172000,5601277000,-560662000,-560662000,7982627000,6077130000,1617627000,287870000,46434000,2940840000,NA,208220000,"ALB"
"311","CLX",-10.9603237327678,0.966928251121076,0.317738073310002,283.4068,167.4,-15.2681643392026,0.41190601053715,"Clorox Company (The)","2023-05-08 16:00:01",20671170560,0.59,37.034332,123525000,"USD","2022-06-30",183000000,NA,681000000,755000000,7000000,1725000000,52000000,1694000000,245000000,6158000000,960000000,NA,95000000,2474000000,844000000,1784000000,5429000000,131000000,1048000000,-1825000000,-479000000,556000000,-1886000000,1558000000,884000000,NA,1202000000,NA,173000000,"CLX"
"312","HOLX",57.0555177276525,4.11858803455263,0.92061978545888,27.699999,0,1.45647606609505,0.944642401511235,"Hologic, Inc.","2023-05-08 16:00:04",20488636416,3,3.883722,246554000,"USD","2022-09-24",2339500000,NA,617600000,623700000,75400000,3862000000,12500000,550500000,129100000,9071200000,197700000,15000000,242700000,2808400000,377100000,937700000,4195000000,3000000,1600300000,-2769700000,-238200000,4876200000,359100000,3236500000,1280600000,16200000,6042600000,NA,NA,"HOLX"
"313","EXR",7.28107557221346,3.06638762260981,0.104692636488427,24.760252,157.36,22.7189095250522,1.04322476784234,"Extra Space Storage Inc","2023-05-08 16:01:53",22332602368,6.34,6.4494658,135007008,"USD","2022-12-31",92868000,NA,643986000,NA,55185000,846878000,882412000,10240937000,4846000,12167458000,171680000,NA,67352000,7331535000,144029000,276181000,8089184000,1339000,-135872000,48798000,48798000,3259597000,3067212000,170811000,21574000,NA,3345332000,4846000,818677000,"EXR"
"314","VRSN",-14.1745140521459,0.929984779299848,0.315177812841364,34.30109,0,-15.5116430986781,1.03675062356298,"VeriSign, Inc.","2023-05-08 16:00:03",22887587840,6.41,-14.388455,104096000,"USD","2022-12-31",373600000,606800000,8100000,NA,25700000,1038700000,NA,239200000,403000000,1733400000,9800000,NA,999800000,1787900000,389200000,1116900000,3295600000,12644500000,-14204000000,-2700000,-2700000,-1562200000,-1614700000,52500000,NA,234600000,NA,9100000,NA,"VRSN"
"315","DOV",-11.7322940176357,1.23444888604588,0.517910099811608,19.22964,146.12,-12.2763720087023,1.12479791703325,"Dover Corporation","2023-05-08 16:00:02",20142741504,7.49,4.69413,139851008,"USD","2022-12-31",380868000,NA,1527945000,1366608000,944000,3423465000,NA,1201883000,267942000,10896519000,1068144000,NA,348981000,2942513000,722436000,2773274000,6610153000,259644000,10223070000,-7063908000,-266223000,4286366000,-1716863000,4669494000,1333735000,35690000,867560000,NA,NA,"DOV"
"316","LVS",12.4541932952581,1.72834443874936,0.366860686503835,-1,62.3,4.99430191628787,1.5113808114034,"Las Vegas Sands Corp.","2023-05-08 16:00:01",47537655808,-0.72,11.720369,764270976,"USD","2022-12-31",6311000000,NA,267000000,28000000,NA,6744000000,NA,11474000000,3757000000,22039000000,89000000,2023000000,876000000,13934000000,377000000,3902000000,18383000000,1000000,1684000000,-4488000000,-7000000,3881000000,3817000000,NA,64000000,131000000,6684000000,60000000,-225000000,"LVS"
"317","MTB",1.33706552065875,0.162810883145473,0.157215922657358,8.989173,116.78,86.9291792625741,1.1549073869474,"M&T Bank Corporation","2023-05-08 16:01:15",19531755520,12.93,0.825046,168044000,"USD","2022-12-31",1520244000,24958719000,74000000,41375000,832250000,27577536000,25210871000,1653628000,137267617000,200729841000,163514868000,743921000,NA,3220616000,2231612000,169383861000,175411851000,89718000,15753978000,-2539197000,-788918000,23307390000,14607927000,8490089000,530100000,NA,10002891000,NA,NA,"MTB"
"318","CTRA",1.50331224393712,1.85331098072087,0.295430251202565,4.7624526,24.95,16.5368175737815,1.13313076600023,"Coterra Energy Inc.","2023-05-08 16:02:29",19030429696,5.22,1.5086782,765504000,"USD","2022-12-31",673000000,NA,1310000000,63000000,165000000,2211000000,NA,17861000000,82000000,20154000000,844000000,NA,39000000,2181000000,3812000000,1193000000,7484000000,77000000,4636000000,13000000,13000000,12659000000,12659000000,NA,NA,NA,7933000000,3000000,NA,"CTRA"
"319","INVH",2.10552673556172,3.87612686026203,0.0970079788610286,50.558826,34.92,16.3962078867768,0.886807583165192,"Invitation Homes Inc.","2023-05-08 16:00:25",21125033984,0.68,2.0584362,611918016,"USD","2022-12-31",262870000,NA,54091000,NA,360580000,796734000,389964000,17071392000,20411000,18536708000,178223000,NA,NA,7769077000,227169000,205549000,8213077000,6114000,-951220000,97985000,97985000,10291342000,10033135000,258207000,NA,NA,11138463000,5850000,32289000,"INVH"
"320","LH",-10.061377373307,1.50235504304044,0.460675724132436,20.123869,226.15,-22.2743507591155,0.70480211247843,"Laboratory Corporation of Ameri","2023-05-08 16:00:01",19833993216,11.06,1.9068549,88500896,"USD","2022-12-31",430000000,NA,3017400000,470600000,NA,4625000000,65700000,3031100000,365400000,20155100000,934800000,301300000,987300000,5118500000,1079300000,3078500000,10039600000,8100000,10581700000,-493200000,-493200000,10096600000,-1971300000,8121000000,3946900000,7600000,NA,NA,18900000,"LH"
