"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","X.ticker."
"1","C",0.651072988038033,0.579833367033894,0.48904266214577,6.584481,52.53,80.8050759830428,"Citigroup, Inc.","2022-08-19 16:03:25",101890318336,7.99,0.5659972,1936710016,"USD","2022-06-30",266641000000,361334000000,80486000000,13000000,17389000000,1066738000000,513878000000,2800000000,773365000000,2380904000000,1321848000000,NA,120127000000,257425000000,81121000000,1839732000000,2181278000000,31000000,191261000000,-119483000000,-45495000000,180019000000,156496000000,19597000000,4526000000,NA,108210000000,612000000,NA,"C"
"2","GM",0.982076754449365,1.14730849643568,0.492022339609597,7.2977943,39.7,40.424538294038,"General Motors Company","2022-08-19 16:00:02",57884585984,5.44,0.931138,1458050048,"USD","2022-06-30",11410000000,10124000000,12417000000,16859000000,4196000000,91094000000,7973000000,41943000000,30237000000,253517000000,25890000000,NA,-1000000,17538000000,25944000000,79398000000,185142000000,15000000,45554000000,-8876000000,-8876000000,63954000000,58941000000,NA,3672000000,21038000000,27261000000,4421000000,NA,"GM"
"3","AIG",0.95096493885285,0.752687938486935,0.211249832355918,3.6811023,56.11,58.9927092538821,"American International Group, I","2022-08-19 16:00:01",42659336192,15.24,0.9645473,760416000,"USD","2022-06-30",2378000000,9165000000,15000000000,NA,77416000000,103959000000,253737000000,NA,166404000000,538938000000,76739000000,51000000,61327000000,28387000000,325610000000,138117000000,492114000000,4766000000,30550000000,-72136000000,-17656000000,44859000000,44859000000,NA,14838000000,14353000000,81679000000,1480000000,NA,"AIG"
"4","L",0.94242804996642,0.468303808541881,0.2463270336894,13.419354,59.51,61.7978207058707,"Loews Corporation","2022-08-19 16:00:01",14032753664,4.34,0.92589945,240947008,"USD","2022-06-30",951000000,4291000000,9701000000,NA,NA,14989000000,43738000000,9962000000,7244000000,77071000000,24559000000,838000000,6289000000,8438000000,20400000000,32007000000,60850000000,2000000,15261000000,-2896000000,-2510000000,15236000000,14890000000,346000000,792000000,NA,2869000000,985000000,3593000000,"L"
