"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"1","AACG",2022-03-04 16:00:04,"ATA Creativity Global",1.7,38272300,-0.316,NA,0.19849081,31376900,"USD","2021-09-30",75232602,5e+05,80340589,3.8e+07,84591774,194754963,97661111,28702127,2665776,524050564,223142487,21171739,3977918,281813550,329919315,4720147,-307606020,-47474256,540513460,-37430740,190153331,-102262743,NA,NA,NA,NA,NA,NA,NA,"AACG"
"2","AACI",2022-03-03 12:30:37,"Armada Acquisition Corp. I",9.99,203160208,-0.085,NA,-185.09435,20709500,"USD","2021-12-31",419700,NA,759988,150003896,NA,NA,NA,NA,NA,150763884,74251,1.5e+08,NA,1861558,151861558,570,-2505013,NA,1406769,NA,-1097674,-1097674,NA,1787307,NA,NA,NA,NA,NA,"AACI"
"3","AADI",2022-03-04 16:00:03,"Aadi Bioscience, Inc.",17.17,353735424,-8.896,NA,2.3426042,20894000,"USD","2021-09-30",161375000,NA,162018000,NA,611000,NA,3880000,2263000,NA,168772000,22000,5757000,NA,11567000,17847000,2000,-126695000,NA,277618000,NA,150925000,147045000,NA,5205000,NA,NA,NA,NA,NA,"AADI"
"4","AAL",2022-03-04 16:00:03,"American Airlines Group, Inc.",14.6,9471244288,-3.095,NA,-1.2875044,649160000,"USD","2021-12-31",2.73e+08,1.505e+09,1.7336e+10,2.39e+08,3.687e+10,4.091e+09,1.988e+09,5.943e+09,3.556e+09,6.6467e+10,8.983e+09,1.262e+10,NA,1.9006e+10,7.3807e+10,6e+06,-8.638e+09,-5.942e+09,7.234e+09,-5.942e+09,-7.34e+09,-1.3419e+10,9.9e+08,1.772e+09,NA,2.315e+09,1.2158e+10,1.795e+09,3.5008e+10,"AAL"
"5","AAME",2022-03-04 16:00:03,"Atlantic American Corporation",2.5,49316212,0.614,3.941368,0.35241008,20378600,"USD","2021-09-30",14327000,22479000,66695000,284032000,4320000,NA,41039000,7991000,321000,404077000,29923000,175834000,NA,50208000,264082000,22401000,48699000,11399000,57441000,18889000,139940000,137396000,29889000,20030000,NA,NA,NA,NA,33738000,"AAME"
"6","AAOI",2022-03-04 16:00:02,"Applied Optoelectronics, Inc.",3.42,96408544,-2.013,NA,0.36599764,27508200,"USD","2021-12-31",34656000,56092000,194079000,NA,250170000,NA,9692000,518000,NA,454459000,2355000,NA,NA,108957000,199889000,27000,-142671000,16071000,381143000,16071000,254570000,244878000,6481000,34402000,NA,49689000,NA,92516000,83680000,"AAOI"
"7","AAON",2022-03-04 16:00:02,"AAON, Inc.",54.39,2927886080,1.09,49.83486,6.1205635,52529300,"USD","2021-12-31",2859000,82252000,218080000,NA,275036000,85727000,70121000,1216000,NA,650180000,27680000,41742000,NA,86768000,184010000,210000,384306000,NA,81654000,NA,466170000,310322000,628000,29020000,NA,NA,NA,130270000,4e+07,"AAON"
"8","AAPL",2022-03-04 16:00:03,"Apple Inc.",163,2662836469760,6.015,27.127182,37.06724,16319399936,"USD","2021-12-25",3.7119e+10,6.5253e+10,1.53154e+11,1.38683e+11,3.9245e+10,NA,NA,5.0109e+10,NA,3.81191e+11,5.7043e+10,5.5056e+10,NA,1.47574e+11,3.09259e+11,5.8424e+10,1.4435e+10,-9.27e+08,NA,-9.27e+08,7.1932e+10,7.1932e+10,1.8112e+10,7.4362e+10,NA,1.1169e+10,2.6794e+10,5.876e+09,1.06629e+11,"AAPL"
"9","AATC",2022-03-04 16:00:03,"Autoscope Technologies Corporat",7.5,35510376,0.537,12.309125,1.7227001,5372220,"USD","2021-09-30",8502000,2497000,13051000,NA,303000,NA,NA,7981000,5222000,21335000,354000,NA,NA,719000,720000,54000,-4294000,-250000,25105000,-250000,20615000,20615000,NA,167000,2759000,NA,NA,1485000,NA,"AATC"
"10","AAWW",2022-03-04 16:00:03,"Atlas Air Worldwide Holdings",82.36,2411575040,16.155,5.0981116,0.856507,29215700,"USD","2021-12-31",910965000,305905000,1326022000,NA,4722454000,40361000,24435000,329971000,664000,6443243000,146181000,392752000,NA,1420057000,3633906000,347000,2100446000,-225972000,934516000,-511000,2809337000,2744541000,15552000,82885000,326107000,508286000,NA,14600000,1609598000,"AAWW"
"11","ABCB",2022-03-04 16:00:03,"Ameris Bancorp",46.83,3258788352,5.4,8.661111,1.0939071,69676896,"USD","2021-12-31",4021657000,NA,5392239000,720023000,281470000,1012620000,338438000,16113531000,NA,23858321000,NA,288732000,NA,19684156000,20891870000,72017000,1006436000,-36815000,1924813000,15590000,2966451000,1827893000,1354832000,19665553000,NA,NA,NA,3810000,866207000,"ABCB"
"12","ABCL",2022-03-04 16:00:02,"AbCellera Biologics Inc.",8.99,2416182016,0.48,17.770834,2.3557026,283256992,"USD","2021-12-31",476142000,174858000,929800000,39077000,111616000,47806000,148392000,41878000,7408000,1318569000,75559000,135747000,NA,120676000,292836000,722430000,267666000,280000,35357000,280000,1025733000,829535000,2.5e+07,14924000,NA,NA,246835000,1672000,NA,"ABCL"
"13","ABCM",2022-03-04 16:00:02,"Abcam plc",25,3731216384,0.096,169.79166,5.8089805,228908992,"USD","2021-06-30",219900000,53300000,319700000,3500000,1.6e+08,1.81e+08,155200000,5100000,5100000,824500000,1700000,20500000,NA,66900000,189800000,5e+05,282200000,86500000,265500000,88800000,634700000,298500000,6e+05,57100000,NA,NA,NA,45900000,NA,"ABCM"
"14","ABEO",2022-03-04 16:00:02,"Abeona Therapeutics Inc.",0.29,39865432,-0.567,NA,0.34725416,146618000,"USD","2021-09-30",43781000,NA,67905000,NA,16076000,32466000,1413000,1159000,NA,119019000,20296000,8360000,NA,26473000,39275000,1019000,-608957000,-9000,687691000,-9000,79744000,45865000,NA,1861000,NA,NA,23217000,NA,NA,"ABEO"
"15","ABGI",2022-03-04 14:25:47,"ABG Acquisition Corp. I",9.77,188492848,-0.099,NA,-42.391304,15566300,"USD","2021-09-30",617654,NA,1068701,NA,NA,NA,NA,150654723,NA,151723424,NA,155922750,NA,246002,156168752,427,-4445755,NA,NA,NA,-4445328,-4445328,NA,39468,NA,NA,NA,NA,NA,"ABGI"
"16","ABIO",2022-03-04 16:00:02,"ARCA biopharma, Inc.",2.15,29542872,-1.485,NA,0.51934826,14410100,"USD","2021-09-30",58313000,NA,59666000,NA,508000,NA,NA,18000,NA,60192000,NA,NA,NA,3182000,3592000,14000,-167800000,NA,224386000,NA,56600000,56600000,1353000,1131000,NA,NA,NA,NA,NA,"ABIO"
"17","ABMD",2022-03-04 16:00:03,"ABIOMED, Inc.",313.85,14279342080,2.909,107.84462,9.965059,45516200,"USD","2021-12-31",144255000,88952000,885006000,374174000,205949000,77449000,31241000,19058000,3680000,1592877000,27831000,24565000,NA,126796000,159939000,455000,904187000,-324914000,853210000,-20489000,1432938000,1324248000,NA,32066000,15378000,NA,524966000,90199000,2131000,"ABMD"
"18","ABNB",2022-03-04 16:00:02,"Airbnb, Inc.",142.5,91737980928,-0.572,NA,18.93075,371168000,"USD","2021-12-31",6067438000,111649000,12386380000,85444000,428621000,652602000,52308000,103119000,NA,13708474000,5037365000,218459000,NA,6359282000,8932761000,63000,-6357741000,-6893000,11140284000,-6893000,4775713000,4070803000,3756153000,118361000,NA,NA,2255038000,NA,1982537000,"ABNB"
"19","ABOS",2022-03-04 16:00:04,"Acumen Pharmaceuticals, Inc.",5.35,203160912,-9.312,NA,0.8706209,40470300,"USD","2021-09-30",135802000,109000,204913000,29910000,13000,NA,NA,13000,NA,234849000,119000,NA,NA,1489000,1489000,4000,-119222000,-28000,352606000,-28000,233360000,233360000,2293000,382000,NA,NA,64162000,248000,NA,"ABOS"
"20","ABSI",2022-03-04 16:00:03,"Absci Corporation",9.6,794435072,-2.684,NA,2.0467558,92591504,"USD","2021-09-30",279262000,714000,300665000,NA,51468000,23013000,55835000,18138000,NA,449119000,1968000,15776000,NA,30248000,61106000,9000,-165859000,-15000,553878000,-15000,388013000,309165000,10512000,6372000,NA,2400000,NA,NA,1712000,"ABSI"
"21","ABST",2022-03-04 16:00:02,"Absolute Software Corporation",8.68,438284096,-0.274,NA,29.896553,50462700,"USD","2021-12-31",61236000,42016000,119492000,NA,16872000,236402000,126418000,40347000,33279000,539531000,127557000,92801000,NA,158038000,524930000,158193000,-190559000,46967000,NA,47231000,14601000,-348219000,9176000,1840000,6418000,1655000,360000,NA,265038000,"ABST"
"22","ABTX",2022-03-04 16:00:02,"Allegiance Bancshares, Inc.",50,888647104,4.01,10.880299,1.0867833,20367800,"USD","2021-12-31",757509000,NA,790901000,1783123000,63708000,223642000,14658000,4228922000,NA,7104954000,NA,29921000,NA,6052343000,6288486000,20337000,267092000,18242000,510797000,18242000,816468000,578168000,33392000,6047639000,NA,NA,NA,NA,198803000,"ABTX"
"23","ABUS",2022-03-04 16:00:03,"Arbutus Biopharma Corporation",2.81,430213792,-0.917,NA,-10.035714,1.45e+08,"USD","2021-12-31",109282000,5344000,160661000,35688000,8075000,NA,NA,61000,NA,204485000,NA,21594000,NA,11221000,35046000,169439000,NA,NA,NA,NA,169439000,169439000,NA,10838000,NA,NA,46035000,NA,NA,"ABUS"
"24","ABVC",2022-03-04 16:00:03,"ABVC Biopharma, Inc.",2.62,70093032,-0.418,NA,7.877814,28609400,"USD","2021-09-30",3715609,882900,7111031,1006533,2082044,NA,NA,2155208,1993789,12354816,103599,9880,-1004237,3438880,4765075,27935,-30548946,-10601422,49716411,-1501422,8593978,8593978,1525279,16497,NA,NA,111320,60007,104167,"ABVC"
"25","ACAD",2022-03-04 16:00:02,"ACADIA Pharmaceuticals Inc.",24.83,3923063552,-1.046,NA,7.150506,161204000,"USD","2021-12-31",520706000,65344000,617823000,NA,66315000,NA,NA,15984000,NA,700122000,NA,7034000,NA,96068000,159228000,540894000,NA,NA,NA,NA,540894000,540894000,NA,6876000,NA,NA,NA,7881000,NA,"ACAD"
"26","ACAH",2022-03-04 15:54:15,"Atlantic Coastal Acquisition Co",9.75,420037504,NA,NA,-18.10409,34500000,"USD","2021-09-30",212592,NA,757906,NA,NA,NA,NA,345006410,NA,345764316,NA,366736667,NA,2238907,368975574,863,-23212121,NA,NA,NA,-23211258,-23211258,10000,2238907,NA,NA,NA,NA,NA,"ACAH"
"27","ACB",2022-03-04 16:00:04,"Aurora Cannabis Inc.",3.35,717341760,-1.527,NA,0.33905187,214772992,"USD","2021-12-31",332404000,50109000,604439000,6440000,569207000,888405000,359784000,57109000,NA,2485384000,25687000,38013000,498000,122865000,530728000,6429089000,-4407311000,-67620000,NA,-67620000,1954158000,705969000,58917000,13787000,NA,38334000,1677000,149530000,310419000,"ACB"
"28","ACBA",2022-03-04 13:33:19,"Ace Global Business Acquisition",10.19,61569180,-0.095,NA,-22.351648,6054000,"USD","2021-12-31",122008,NA,184492,NA,NA,NA,NA,46922930,NA,47107422,NA,5e+07,NA,204383,50204383,1454,-3098415,NA,NA,NA,-3096961,-3096961,NA,NA,NA,NA,NA,NA,NA,"ACBA"
"29","ACCD",2022-03-04 16:00:04,"Accolade, Inc.",16,1001028096,-1.747,NA,1.2682389,66958400,"USD","2021-11-30",365982000,25903000,407556000,NA,11965000,579581000,255129000,9121000,NA,1263352000,134686000,9791000,NA,184602000,474652000,7000,-460088000,NA,1248781000,NA,788700000,-46010000,2957000,5744000,7425000,NA,NA,NA,280259000,"ACCD"
"30","ACER",2022-03-04 16:00:03,"Acer Therapeutics Inc.",2.59,35632400,-1.08,NA,-20.75,14310200,"USD","2021-12-31",12710762,5e+06,28088616,NA,114112,7647267,NA,406956,NA,36256951,25276023,8870606,NA,29109950,37980556,1431,-114509954,NA,112784918,NA,-1723605,-9370872,9283625,1405734,NA,NA,NA,NA,NA,"ACER"
"31","ACET",2022-03-04 16:00:02,"Adicet Bio, Inc.",12.56,491638624,-2.013,NA,1.8476024,39143200,"USD","2021-09-30",192226000,2711000,199025000,NA,32260000,19462000,NA,6448000,NA,257195000,10088000,116000,NA,20032000,39971000,3000,-152511000,NA,369732000,NA,217224000,197762000,1000,4631000,1e+05,NA,NA,NA,NA,"ACET"
"32","ACEV",2022-03-04 16:00:00,"ACE Convergence Acquisition Cor",10.55,139802048,-0.114,NA,-12.279412,8202280,"USD","2021-09-30",15842,NA,188564,NA,NA,NA,NA,230152372,NA,230340936,NA,249105764,NA,4685128,253790892,575,-23450531,NA,NA,NA,-23449956,-23449956,NA,4375918,NA,NA,NA,NA,NA,"ACEV"
"33","ACGL",2022-03-04 16:00:03,"Arch Capital Group Ltd.",46.02,17443512320,5.23,8.799235,1.3638788,379041984,"USD","2021-12-31",858668000,4522150000,15480980000,24901594000,106836000,344865000,1501959000,2764711000,NA,45100945000,6080966000,15551519000,9233000,13174874000,31545816000,648000,14455868000,-3825695000,2085075000,-64600000,12715896000,11770913000,6538185000,7062226000,NA,NA,1832522000,NA,2724394000,"ACGL"
"34","ACGLN",2022-03-04 16:00:02,"Arch Capital Group Ltd. - Depos",25.1,NA,5.23,4.17782,0.6475609,NA,"USD","2021-12-31",858668000,4522150000,15480980000,24901594000,106836000,344865000,1501959000,2764711000,NA,45100945000,6080966000,15551519000,9233000,13174874000,31545816000,648000,14455868000,-3825695000,2085075000,-64600000,12715896000,11770913000,6538185000,7062226000,NA,NA,1832522000,NA,2724394000,"ACGLN"
"35","ACGLO",2022-03-04 16:00:03,"Arch Capital Group Ltd. - Depos",27.43,14198217728,5.23,4.655832,0.72165257,402939008,"USD","2021-12-31",858668000,4522150000,15480980000,24901594000,106836000,344865000,1501959000,2764711000,NA,45100945000,6080966000,15551519000,9233000,13174874000,31545816000,648000,14455868000,-3825695000,2085075000,-64600000,12715896000,11770913000,6538185000,7062226000,NA,NA,1832522000,NA,2724394000,"ACGLO"
"36","ACHC",2022-03-04 16:00:02,"Acadia Healthcare Company, Inc.",62.39,5592803328,2.101,29.609709,2.2000213,89902000,"USD","2021-12-31",133813000,304448000,495031000,NA,1904920000,2199937000,70145000,98045000,3080000,4768078000,55116000,174066000,65388000,404861000,2185201000,890000,-119751000,NA,2636350000,NA,2517489000,247407000,29692000,98575000,NA,18594000,NA,4786000,1478626000,"ACHC"
"37","ACHL",2022-03-04 16:00:02,"Achilles Therapeutics plc",3.59,113689800,-2.132,NA,0.3926518,40603500,"USD","2021-12-31",266319000,11173000,284749000,NA,28791000,NA,NA,3566000,26000,317106000,1980000,691000,NA,19110000,27578000,54000,-119111000,6764000,401821000,6764000,289528000,289528000,2124000,3722000,NA,NA,NA,NA,NA,"ACHL"
"38","ACHV",2022-03-04 16:00:02,"Achieve Life Sciences, Inc.",6.9,63433252,-4.503,NA,1.8278399,9453540,"USD","2021-09-30",33312000,151000,34733000,NA,1e+05,1034000,1697000,235000,NA,37799000,1000,NA,NA,3076000,3099000,79000,-86435000,4000,121052000,4000,34700000,31969000,NA,815000,NA,NA,NA,NA,NA,"ACHV"
"39","ACIU",2022-03-04 16:00:03,"AC Immune SA",3.8,274655168,-1.07,NA,1.5372102,72660096,"USD","2021-09-30",93584000,433000,195376000,NA,7626000,NA,NA,394000,NA,203396000,123000,7960000,NA,14223000,24175000,1589000,-181665000,-124000,359421000,NA,179221000,179221000,4424000,215000,NA,NA,9.5e+07,NA,NA,"ACIU"
"40","ACIW",2022-03-04 16:00:03,"ACI Worldwide, Inc.",32.1,3692403712,1.08,29.712961,2.9834511,115064000,"USD","2021-12-31",122059000,320405000,937434000,19300000,110875000,1280226000,440786000,370120000,50778000,3158741000,575777000,96591000,NA,754155000,1913964000,702000,1131281000,-575519000,688313000,-99547000,1244777000,-476235000,470272000,41312000,21100000,48770000,NA,NA,1019872000,"ACIW"
"41","ACLS",2022-03-04 16:00:03,"Axcelis Technologies, Inc.",65.09,2049277696,2.88,21.399305,3.8010361,33251300,"USD","2021-12-31",294923000,104410000,619246000,NA,63452000,NA,NA,70542000,35454000,753240000,75688000,13369000,NA,150140000,214281000,33000,-22722000,1765000,559883000,1765000,538959000,538959000,NA,38025000,32004000,NA,NA,194984000,NA,"ACLS"
"42","ACLX",2022-03-04 16:00:04,"Arcellx, Inc.",20.9,626057984,-24.396,NA,-0.4848746,34781000,"USD","2020-12-31",46596000,NA,49357000,NA,4900000,NA,NA,3437000,NA,57694000,191000,1882000,NA,5271000,7153000,2000,-65142000,NA,1420000,NA,-63720000,-63720000,1551000,504000,1761000,NA,NA,NA,NA,"ACLX"
"43","ACMR",2022-03-04 16:00:03,"ACM Research, Inc.",78.85,1494645504,1.73,44.127167,2.208848,17883200,"USD","2021-12-31",563067000,125614000,952934000,12694000,18224000,NA,10144000,58183000,13166000,1052179000,90275000,9749000,135461000,205939000,240514000,2000,72044000,9109000,595049000,9109000,676204000,666060000,NA,101350000,NA,2410000,NA,218116000,22957000,"ACMR"
"44","ACNB",2022-03-04 16:00:03,"ACNB Corporation",33.51,291732896,3.19,10.492164,1.0675555,8679210,"USD","2021-12-31",NA,NA,NA,446161000,NA,NA,NA,2340826000,NA,2786987000,NA,18582000,NA,2426389000,2514873000,272114000,NA,NA,NA,NA,272114000,272114000,NA,2426389000,NA,NA,NA,NA,69902000,"ACNB"
"45","ACOR",2022-03-04 16:00:03,"Acorda Therapeutics, Inc.",2.15,23972710,-17.041,NA,0.14556834,11202200,"USD","2021-09-30",36168000,13587000,97069000,NA,12877000,NA,343731000,12410000,NA,466087000,9297000,53678000,NA,68271000,301612000,11000,-849789000,-2195000,1016448000,-1557000,164475000,-179256000,15527000,15500000,NA,NA,NA,20595000,175376000,"ACOR"
"46","ACQR",2022-03-04 14:37:07,"Independence Holdings Corp.",9.75,602962496,NA,NA,-17.269503,49399500,"USD","2021-09-30",1435699,NA,2451341,NA,NA,NA,NA,495938352,NA,498389693,NA,533212718,NA,168865,533381583,1240,-34993130,NA,NA,NA,-34991890,-34991890,NA,66490,NA,NA,NA,NA,NA,"ACQR"
"47","ACRS",2022-03-04 16:00:02,"Aclaris Therapeutics, Inc.",19.25,968757760,-1.602,NA,4.46989,61275000,"USD","2021-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216581000,209514000,NA,NA,NA,NA,NA,NA,NA,"ACRS"
"48","ACRX",2022-03-04 16:00:00,"AcelRx Pharmaceuticals, Inc.",0.4169,50997548,-0.325,NA,-1.100831,128328000,"USD","2021-09-30",13271000,153000,51753000,NA,20229000,NA,NA,281000,NA,72263000,NA,87327000,NA,17070000,115284000,119000,-465667000,NA,422527000,NA,-43021000,-43021000,NA,2228000,NA,8780000,35428000,1556000,6952000,"ACRX"
"49","ACST",2022-03-04 15:59:33,"Acasti Pharma, Inc.",1.06,46896776,-0.458,NA,0.42220894,44288200,"USD","2021-12-31",33013000,238000,48997000,NA,22000,NA,65208000,NA,NA,114227000,32000,268000,NA,2897000,3165000,257990000,-151933000,-6533000,11538000,-6533000,111062000,45854000,587000,2843000,NA,NA,13312000,NA,NA,"ACST"
"50","ACT",2022-03-04 16:00:02,"Enact Holdings, Inc.",20.17,3287759616,3.357,6.0142984,0.80080914,162840992,"USD","2021-12-31",425828000,42266000,499155000,5266339000,15500000,NA,27220000,57559000,NA,5865773000,246319000,114533000,NA,890610000,1760250000,1628000,1648453000,83581000,2371861000,83581000,4105523000,4105523000,31061000,641325000,NA,NA,NA,NA,740416000,"ACT"
"51","ACTD",2022-03-04 16:00:04,"ArcLight Clean Transition Corp.",10.49,383897600,NA,NA,-14.429824,31116300,"USD","2021-09-30",1092857,NA,2134685,NA,NA,NA,NA,311171488,NA,313306173,NA,339637295,NA,277565,339914860,778,-26609465,NA,NA,NA,-26608687,-26608687,NA,2e+05,NA,NA,NA,NA,NA,"ACTD"
"52","ACTG",2022-03-04 16:00:04,"Acacia Research Corporation",3.67,181506352,0.132,27.727274,0.8106313,49591900,"USD","2021-09-30",217957000,21951000,669431000,NA,671000,NA,39826000,39906000,NA,749834000,8e+06,253755000,11948000,204449000,458875000,50000,-382215000,-43270000,649349000,NA,223914000,184088000,761000,2196000,NA,NA,424776000,NA,NA,"ACTG"
"53","ACVA",2022-03-04 16:00:02,"ACV Auctions Inc.",13.5,1951774848,-0.624,NA,3.505473,108240000,"USD","2021-12-31",565994000,267031000,857413000,NA,8180000,78839000,35974000,2554000,NA,982960000,6517000,952000,NA,423362000,426863000,156000,-245161000,-40000,801142000,-40000,556097000,441284000,10623000,395972000,NA,NA,13765000,NA,5e+05,"ACVA"
"54","ACXP",2022-03-04 16:00:02,"Acurx Pharmaceuticals, Inc.",3.57,36470404,-1.479,NA,2.531915,10215800,"USD","2021-09-30",14459046,NA,14989628,NA,NA,NA,NA,NA,NA,14989628,NA,NA,NA,712437,712437,10127,-23921223,NA,38188287,NA,14277191,14277191,NA,12142,NA,NA,NA,NA,NA,"ACXP"
"55","ADAG",2022-03-04 16:00:02,"Adagene Inc.",4.81,230366576,-2.504,NA,1.1022701,43576700,"USD","2021-06-30",208274215,1547593,215209118,NA,2593357,NA,NA,59569,NA,217862044,17511083,61919,NA,29576675,31639337,5642,-142846007,-153498,329216570,-153498,186222707,186222707,5387310,2833974,NA,1818857,NA,NA,2000743,"ADAG"
"56","ADAL",2022-03-04 15:33:22,"Anthemis Digital Acquisitions I",15.65,299460000,NA,NA,4960,2.3e+07,"USD","2021-09-30",458,NA,458,NA,NA,NA,NA,1076030,NA,1076488,927849,NA,NA,1060349,1060349,719,-8861,NA,24281,NA,16139,16139,NA,NA,1076030,NA,NA,NA,NA,"ADAL"
"57","ADAP",2022-03-04 16:00:02,"Adaptimmune Therapeutics plc",2.11,320218208,-1.002,NA,1.3285806,156204000,"USD","2021-09-30",42918000,45087000,300450000,NA,50170000,NA,1191000,1717000,NA,353528000,6299000,47704000,NA,41137000,112545000,1337000,-704988000,-10098000,954732000,-10098000,240983000,239792000,3988000,4784000,NA,NA,197202000,1285000,NA,"ADAP"
"58","ADBE",2022-03-04 16:00:02,"Adobe Inc.",451.78,219191263232,10.02,45.122753,14.513675,472348000,"USD","2021-12-03",3.844e+09,1.878e+09,8.669e+09,NA,2.116e+09,1.2668e+10,1.82e+09,1.968e+09,1.085e+09,2.7241e+10,4.923e+09,9.36e+08,NA,6.932e+09,1.2444e+10,NA,2.3905e+10,-1.7536e+10,8.428e+09,-1.37e+08,1.4797e+10,3.09e+08,3.03e+08,3.12e+08,4.06e+08,NA,1.954e+09,NA,4.123e+09,"ADBE"
"59","ADER",2022-03-04 16:00:03,"26 Capital Acquisition Corp.",9.95,339968768,NA,NA,-11.901324,27500000,"USD","2021-09-30",311463,NA,616970,NA,NA,NA,NA,275011574,NA,275628544,272662,303922023,NA,282662,304204685,688,-28576829,NA,NA,NA,-28576141,-28576141,NA,NA,NA,NA,NA,NA,NA,"ADER"
"60","ADES",2022-03-04 16:00:04,"Advanced Emissions Solutions, I",6.5,116209016,2.999,2.054018,0.7992734,18865100,"USD","2021-09-30",66139000,19444000,101766000,3436000,44046000,NA,1452000,31073000,1558000,181773000,7577000,8236000,NA,24522000,40748000,23000,87034000,-47692000,101660000,NA,141025000,139573000,8244000,9125000,7109000,NA,NA,5569000,NA,"ADES"
"61","ADGI",2022-03-04 16:00:03,"Adagio Therapeutics, Inc.",5.09,559597568,-14.738,NA,0.88369644,111252000,"USD","2021-09-30",478269000,682000,680155000,NA,NA,NA,NA,6115000,NA,686270000,NA,8000,NA,53049000,53057000,5000,-209067000,3000,842272000,3000,633213000,633213000,8593000,17564000,NA,NA,188053000,NA,NA,"ADGI"
"62","ADI",2022-03-04 16:00:03,"Analog Devices, Inc.",157.65,82360213504,2.909,53.918877,2.193093,523315008,"USD","2022-01-29",1790399000,1636928000,4636695000,NA,2037290000,26940594000,14762722000,2838313000,2317301000,51215614000,471363000,5312821000,NA,2221906000,13788302000,87221000,7434748000,-188618000,30093961000,-188618000,37427312000,-4276004000,NA,436227000,NA,NA,NA,972571000,6253575000,"ADI"
"63","ADIL",2022-03-04 16:00:03,"Adial Pharmaceuticals, Inc",2.1,44591720,-1.004,NA,5.340909,23719000,"USD","2021-09-30",7180206,NA,7985525,NA,320606,131495,460183,1548397,NA,10446206,NA,1068014,NA,1957845,3246108,20448,-45112271,NA,52291921,NA,7200098,6608420,235535,185187,1548397,NA,NA,NA,NA,"ADIL"
"64","ADMA",2022-03-04 16:00:04,"ADMA Biologics Inc",1.65,319176832,-0.628,NA,2.193809,195814000,"USD","2021-09-30",34410570,20392621,174785110,NA,55084666,3529509,1907607,3333514,NA,238640406,2024318,2244238,NA,32337243,135860239,13831,-395463301,NA,498229637,NA,102780167,97343051,NA,17282841,NA,NA,NA,114122873,94363008,"ADMA"
"65","ADMP",2022-03-04 16:00:04,"Adamis Pharmaceuticals Corporat",0.6485,93798176,-0.421,NA,2.7155173,148886000,"USD","2021-09-30",28731894,7097471,41898300,NA,3080349,NA,NA,97549,NA,45076198,2534915,977299,NA,9196155,10605472,14941,-269311627,-5250,303772662,NA,34470726,34470726,5177475,2453470,NA,NA,NA,NA,NA,"ADMP"
"66","ADN",2022-03-04 16:00:02,"Advent Technologies Holdings, I",2.18,117807432,-0.258,NA,0.80572295,51253600,"USD","2021-09-30",92492367,7930188,108364097,NA,7883042,NA,54281798,3435125,1279969,173964062,6755956,22421177,NA,15410293,37831470,5125,-24418878,-717328,161263673,-717328,136132592,81850794,520007,3722624,NA,NA,NA,5598574,NA,"ADN"
"67","ADOC",2022-03-04 15:33:35,"Edoc Acquisition Corp.",10.2,119987656,NA,NA,-195.48076,9554000,"USD","2021-09-30",412048,NA,504447,NA,NA,NA,NA,91556215,NA,92060662,NA,91809071,NA,865277,92674348,280,-1058700,NA,444734,NA,-613686,-613686,NA,865277,NA,NA,NA,NA,NA,"ADOC"
"68","ADP",2022-03-04 16:00:02,"Automatic Data Processing, Inc.",208.46,87562584064,6.46,32.269352,17.355759,420044992,"USD","2021-12-31",1.745e+09,2.736e+09,51107300000,NA,1116600000,2330700000,1222500000,3325500000,NA,59102600000,46453400000,1619400000,NA,4.9084e+10,5.4053e+10,63900000,20011800000,-16690800000,1664700000,-328400000,5049600000,1496400000,46606600000,103500000,2448100000,1100000,19700000,NA,2986100000,"ADP"
"69","ADPT",2022-03-04 16:00:02,"Adaptive Biotechnologies Corpor",12.14,1718829824,-1.477,NA,2.8417604,141584000,"USD","2021-12-31",139065000,18809000,402748000,217145000,172940000,118972000,8526000,3013000,NA,923344000,81466000,98750000,110000,113807000,319242000,14000,-718891000,-1137000,1324006000,-1137000,603992000,476494000,NA,3307000,NA,NA,213996000,19263000,NA,"ADPT"
"70","ADSE",2022-03-04 16:00:03,"ADS-TEC ENERGY PLC",8.7,409986336,-98.114,NA,-0.01955016,48807900,"USD","2021-06-30",NA,3291000,19352000,140000,4397000,NA,15725000,16000,NA,39630000,4064000,29742000,NA,21830000,53396000,32000,-34748000,20950000,NA,20950000,-13766000,-29491000,NA,12496000,NA,NA,NA,16061000,NA,"ADSE"
"71","ADSK",2022-03-04 16:00:03,"Autodesk, Inc.",207.66,45679591424,2.24,92.70536,53.60351,219972992,"USD","2022-01-31",1528400000,716100000,2763800000,45400000,4.67e+08,3603800000,493800000,1.233e+09,740700000,8606800000,2.893e+09,1124600000,NA,4009400000,7757700000,2923100000,-1.95e+09,-1.24e+08,NA,-1.24e+08,849100000,-3248500000,NA,120800000,NA,349700000,235700000,NA,2277900000,"ADSK"
