"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"2377","NLSP",2022-03-04 16:00:02,"NLS Pharmaceutics Ltd.",1.47,21090354,-0.691,NA,4.0625,14748500,"USD","2021-06-30",7092115,43079,8241362,NA,27733,NA,NA,NA,NA,8269095,NA,2827289,NA,1192851,4020140,259729,-34363039,-179853,38532118,-179853,4248955,4248955,29909,527203,NA,NA,NA,NA,NA,"NLSP"
"2378","NLTX",2022-03-04 16:00:02,"Neoleukin Therapeutics, Inc.",2.35,98586080,-1.103,NA,0.6894502,42494000,"USD","2021-09-30",154924000,NA,156498000,NA,17265000,NA,183000,1988000,NA,175934000,2e+05,NA,NA,8996000,21068000,NA,-378331000,NA,533197000,NA,154866000,154683000,1574000,7574000,NA,NA,NA,NA,NA,"NLTX"
"2379","NMFC",2022-03-04 16:00:02,"New Mountain Finance Corporatio",13.85,1345441664,1.911,7.158556,1.0137088,98351000,"USD","2021-09-30",83357000,63185000,146542000,3011654000,NA,NA,NA,9915000,NA,3168111000,NA,2827000,20053000,51835000,1863153000,969000,13217000,NA,1270719000,NA,1284905000,1284905000,NA,24658000,NA,NA,NA,NA,1808491000,"NMFC"
"2380","NMIH",2022-03-04 16:00:04,"NMI Holdings Inc",22.41,1876458112,2.654,8.236624,1.1977427,85839800,"USD","2021-09-30",93688000,58499000,206686000,2089804000,32066000,NA,64996000,4762000,NA,2398314000,139624000,158641000,NA,329165000,882088000,857000,547617000,19357000,948395000,19357000,1516226000,1512592000,36106000,179741000,NA,NA,11015000,NA,394282000,"NMIH"
"2381","NMMC",2022-03-04 15:54:45,"North Mountain Merger Corp.",9.89,163245600,NA,NA,-11.86899,13225000,"USD","2021-09-30",576437,NA,755937,NA,NA,NA,NA,132259019,NA,133014956,NA,146503875,NA,272834,146776709,331,-13762084,NA,NA,NA,-13761753,-13761753,NA,NA,NA,NA,NA,NA,NA,"NMMC"
"2382","NMRD",2022-03-04 16:00:03,"Nemaura Medical Inc.",4.5,104124536,-0.535,NA,98.18182,24102900,"USD","2021-12-31",23046278,152592,25055506,NA,454272,NA,1564121,NA,NA,27073899,1108027,1201699,NA,16135461,26050139,23331,-34114228,-7355,35122012,-7355,1023760,-540361,NA,176619,NA,14850815,NA,1384278,8712979,"NMRD"
"2383","NMRK",2022-03-04 16:00:02,"Newmark Group, Inc.",16.72,3161116416,3.8,4.4,2.4799762,167776992,"USD","2021-09-30",170752000,535955000,2611171000,102266000,776394000,651695000,605748000,585891000,101060000,5333165000,130619000,218516000,390829000,2305273000,3686553000,2119000,932268000,-161319000,482715000,-720000,1255783000,-1660000,1323462000,214080000,NA,NA,536154000,NA,544615000,"NMRK"
"2384","NMTC",2022-03-04 16:00:03,"NeuroOne Medical Technologies C",2.2,32865700,-0.93,NA,2.0609136,16190000,"USD","2021-09-30",6901346,48336,7292012,NA,512277,NA,134207,NA,NA,7938496,8622,NA,NA,1181700,1384595,35834,-40827199,NA,47345266,NA,6553901,6419694,NA,528829,NA,NA,NA,98287,NA,"NMTC"
"2385","NMTR",2022-03-04 16:00:03,"9 Meters Biopharma, Inc.",0.5566,140694096,-0.147,NA,2.8512952,255668000,"USD","2021-09-30",53608585,NA,56478610,NA,195587,NA,NA,5580,NA,56679777,NA,NA,NA,7281020,7408480,25553,-159285687,NA,208531431,NA,49271297,49271297,NA,1316381,NA,NA,NA,NA,NA,"NMTR"
"2386","NN",2022-03-04 16:00:02,"NextNav Inc.",6.21,576670784,-13.212,NA,-0.25107038,95475296,"USD","2021-09-30",1641000,NA,10058000,NA,5723000,NA,4106000,20293000,NA,40180000,NA,169166000,NA,6812000,258170000,2000,-601659000,-115000,347000,-115000,-601425000,-605531000,7312000,1793000,NA,NA,NA,NA,82192000,"NN"
"2387","NNBR",2022-03-04 16:00:02,"NN, Inc.",2.45,104141072,2.561,0.94494337,0.46324658,43033500,"USD","2021-09-30",24611000,95732000,207501000,30799000,259917000,NA,92305000,4184000,131000,594706000,13148000,28987000,NA,85073000,317823000,430000,-219556000,-32585000,476540000,-32585000,224829000,132524000,11837000,44033000,7e+05,3529000,NA,75321000,151346000,"NNBR"
"2388","NNDM",2022-03-04 16:00:02,"Nano Dimension Ltd.",3.19,820764800,-0.288,NA,0.5577828,256488992,"USD","2021-09-30",1127778000,4682000,1394273000,NA,12392000,NA,NA,117250000,NA,1523915000,12745000,10561000,572000,14541000,28679000,386372000,-149610000,-78000,1257980000,1431000,1494664000,1494664000,165000,1796000,116767000,NA,257613000,4035000,NA,"NNDM"
"2389","NNOX",2022-03-04 16:00:02,"NANO-X IMAGING LTD",10,471595360,-1.247,NA,2.2654095,47877700,"USD","2021-09-30",77557000,NA,111683000,69768000,31917000,NA,NA,4709000,NA,218077000,NA,155000,NA,6219000,9927000,136000,-124179000,-190000,332383000,-190000,208150000,208150000,NA,1302000,NA,NA,32972000,NA,2954000,"NNOX"
"2390","NOAC",2022-03-04 15:54:41,"Natural Order Acquisition Corp.",12,282612512,NA,NA,-26.495956,28750000,"USD","2021-09-30",1010087,NA,1051504,NA,NA,NA,NA,230078467,NA,231129971,NA,241586000,NA,195956,241781956,575,-10652560,NA,NA,NA,-10651985,-10651985,NA,NA,NA,NA,NA,NA,NA,"NOAC"
"2391","NODK",2022-03-04 16:00:03,"NI Holdings, Inc.",18.32,385591264,1.109,16.375113,1.1360651,21233000,"USD","2021-09-30",47729000,94425000,187045000,447947000,9949000,9384000,33932000,8229000,NA,696486000,137099000,19020000,4268000,333490000,352510000,230000,261079000,-18846000,97245000,6501000,339708000,321868000,44891000,180781000,NA,NA,NA,NA,NA,"NODK"
"2392","NOTV",2022-03-04 16:00:03,"Inotiv, Inc.",28.08,610771008,-5.097,NA,0.9883409,25459400,"USD","2021-09-30",138924000,28364000,189019000,NA,56396000,51927000,24233000,281000,NA,321856000,26781000,817000,NA,55109000,216728000,3945000,-11015000,NA,112198000,NA,105128000,28968000,1.8e+07,6163000,NA,9656000,NA,602000,154209000,"NOTV"
"2393","NOVN",2022-03-04 16:00:03,"Novan, Inc.",3.46,64914856,-1.74,NA,3.5420945,18815900,"USD","2021-09-30",59960000,121000,61514000,NA,11532000,NA,75000,766000,NA,73887000,2586000,7063000,NA,12666000,47702000,2000,-270736000,-155000,297074000,NA,26185000,26110000,419000,2919000,NA,NA,NA,NA,2.5e+07,"NOVN"
"2394","NOVT",2022-03-04 16:00:03,"Novanta Inc.",139.68,4770326528,1.41,94.95745,9.143619,35628700,"USD","2021-10-01",102395000,112080000,353312000,NA,129738000,492940000,231027000,3220000,411000,1210237000,89044000,34008000,NA,187974000,710124000,423856000,42779000,-15011000,48489000,-15011000,500113000,-223854000,7454000,65012000,NA,5207000,NA,119422000,441831000,"NOVT"
"2395","NPAB",2022-03-04 15:16:15,"New Providence Acquisition Corp",9.95,309374976,NA,NA,9899.999,2.5e+07,"USD","2021-09-30",551,NA,3051,NA,NA,NA,NA,723134,NA,726185,533456,NA,NA,721951,721951,647,-20766,NA,24353,NA,4234,4234,NA,NA,723134,NA,NA,NA,NA,"NPAB"
"2396","NPCE",2022-03-04 16:00:02,"Neuropace, Inc.",9.05,186245232,-2.746,NA,2.2784057,24314000,"USD","2021-09-30",26633000,6611000,140490000,NA,624000,NA,NA,143000,NA,141257000,407000,1289000,NA,8674000,59545000,24000,-413078000,33000,494733000,33000,81712000,81712000,NA,1254000,NA,NA,96701000,7162000,49582000,"NPCE"
"2397","NRAC",2022-03-04 16:00:00,"Noble Rock Acquisition Corporat",10,294630016,NA,NA,-17.585587,24150000,"USD","2021-09-30",1157128,NA,1535375,NA,NA,NA,NA,241520900,NA,243056275,NA,259576120,NA,230560,259806680,604,-16751009,NA,NA,NA,-16750405,-16750405,NA,90060,NA,NA,NA,NA,NA,"NRAC"
"2398","NRBO",2022-03-04 16:00:04,"NeuroBo Pharmaceuticals, Inc.",0.8397,20476764,-1.468,NA,2.8,26593200,"USD","2021-09-30",6984000,NA,7844000,NA,233000,NA,NA,NA,NA,8077000,NA,NA,NA,1901000,1952000,22000,-77250000,4000,83349000,4000,6125000,6125000,48000,953000,NA,NA,NA,NA,NA,"NRBO"
