"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","(ticker)"
"118","FISV",2022-08-19 16:00:04,"Fiserv, Inc.",110.8,70021660672,3.05,35.895084,2.2628717,639584000,"USD","2022-06-30",3.055e+09,NA,3.194e+09,NA,1.2507e+10,2.0281e+10,2.633e+09,1.804e+09,2.649e+09,7.7212e+10,5.45e+08,NA,1.6264e+10,2.0444e+10,4.976e+09,1.9351e+10,4.5242e+10,8e+06,1.6113e+10,-8.022e+09,-1.005e+09,3.1109e+10,-1.8736e+10,3.6829e+10,1.3016e+10,NA,2.301e+10,8.61e+08,8.49e+08,"FISV"
"119","AON",2022-08-19 16:04:29,"Aon plc",300.09,63250378752,6.9,43.45942,92.75286,210926000,"USD","2022-06-30",690400000,139600000,3.716e+09,NA,1.7481e+10,2.2167e+10,6.4e+07,1.261e+09,2.442e+09,3.472e+10,1.728e+09,5e+08,1.8411e+10,9.666e+09,2.461e+09,2.1077e+10,3.3932e+10,2e+06,-1.727e+09,-4.26e+09,-4.26e+09,6.84e+08,-8.102e+09,8.295e+09,4.91e+08,7.71e+08,6.669e+09,1.04e+08,1.82e+08,"AON"
"120","EQIX",2022-08-19 16:00:04,"Equinix, Inc.",697.85,63460286464,6.97,99.96987,5.9700637,91075200,"USD","2022-06-30",1891311000,NA,812769000,NA,585867000,3289947000,NA,16908413000,1272090000,29038214000,841473000,34086000,448618000,12733087000,789644000,1608944000,18408620000,91000,NA,-5629618000,-5530826000,10629784000,3062020000,5585330000,1982434000,NA,16259311000,-190000,NA,"EQIX"
"121","F",2022-08-19 16:03:33,"Ford Motor Company",15.81,63841411072,2.84,5.5915494,1.4453444,3949390080,"USD","2022-06-30",1.3218e+10,1.4998e+10,3.953e+09,1.3976e+10,3.18e+09,1.00469e+11,4.074e+09,3.7067e+10,2.9044e+10,2.45755e+11,2.2242e+10,4.31e+08,1.7215e+10,1.7833e+10,2.6653e+10,8.6452e+10,2.01518e+11,4.2e+07,3.2511e+10,-1.1037e+10,-9.473e+09,4.4169e+10,4.4169e+10,NA,NA,1.4829e+10,2.2653e+10,6.8e+07,NA,"F"
"122","ICE",2022-08-19 16:00:02,"Intercontinental Exchange Inc.",109.99,60922179584,5.98,18.242474,2.6682158,558457984,"USD","2022-06-30",8.3e+08,NA,1.371e+09,NA,1.73717e+11,1.76375e+11,NA,1.703e+09,2.626e+09,2.15207e+11,7.19e+08,NA,1.68479e+11,1.8109e+10,4.548e+09,1.69422e+11,1.92346e+11,6e+06,1.5135e+10,-6.528e+09,-3.05e+08,2.2814e+10,-1.1689e+10,2.1106e+10,1.3397e+10,NA,1.4201e+10,4.7e+07,NA,"ICE"
"123","HUM",2022-08-19 16:03:29,"Humana Inc.",503,63259279360,24.5,20.402449,4.0838566,126554000,"USD","2022-06-30",5.153e+09,1.3037e+10,3.369e+09,NA,5.658e+09,2.7217e+10,5.54e+08,3.121e+09,5.261e+09,4.682e+10,1.5437e+10,1e+09,4.7e+08,1.129e+10,2.181e+09,1.7839e+10,3.131e+10,3.3e+07,2.4511e+10,-1.2207e+10,-1.051e+09,1.549e+10,4.823e+09,8.911e+09,1.756e+09,NA,3.153e+09,2e+07,NA,"HUM"
"124","ATVI",2022-08-19 16:00:04,"Activision Blizzard, Inc",80.19,62795780096,2.39,33.58577,3.441224,782307008,"USD","2022-06-30",1.0483e+10,2.5e+08,5.72e+08,NA,1.202e+09,1.2507e+10,NA,1.75e+08,1.804e+09,2.4994e+10,1.97e+08,NA,8.47e+08,3.609e+09,1.113e+09,2.024e+09,6.746e+09,NA,1.2333e+10,-6.154e+09,-5.91e+08,1.8248e+10,7.74e+09,9.931e+09,5.77e+08,1.259e+09,1.2069e+10,NA,NA,"ATVI"
"125","EW",2022-08-19 16:00:02,"Edwards Lifesciences Corporatio",99,61095383040,2.29,43.034935,10.27633,619942976,"USD","2022-06-30",1198100000,317700000,679200000,7.4e+08,248800000,3263100000,1490800000,1644100000,542300000,8425100000,162500000,NA,2.19e+08,5.96e+08,852900000,969100000,2481500000,6.45e+08,6848100000,-3.402e+09,-224400000,5943600000,4458800000,1164100000,320700000,307600000,1852500000,NA,NA,"EW"
"126","NSC",2022-08-19 16:04:39,"Norfolk Southern Corporation",257.57,60069023744,12.54,20.394737,4.5665565,234874000,"USD","2022-06-30",1.259e+09,NA,1.208e+09,2.89e+08,1.01e+08,2.857e+09,3.671e+09,3.1787e+10,1.021e+09,3.9336e+10,1.308e+09,6.05e+08,6.81e+08,1.4983e+10,8.59e+09,2.609e+09,2.6182e+10,2.36e+08,1.1116e+10,-3.88e+08,-3.88e+08,1.3154e+10,1.3154e+10,NA,NA,NA,2.19e+09,NA,NA,"NSC"
"127","ITW",2022-08-19 16:00:01,"Illinois Tool Works Inc.",214.11,66166222848,8.43,25.34994,19.587534,309622016,"USD","2022-06-30",8.79e+08,NA,3.109e+09,1.975e+09,1.03e+08,6.371e+09,NA,1.736e+09,1.857e+09,1.5666e+10,6.79e+08,1.525e+09,5.28e+08,6.115e+09,1.878e+09,4.294e+09,1.2287e+10,6e+06,2.4967e+10,-2.3059e+10,-1.677e+09,3.378e+09,-2.324e+09,4.87e+09,8.32e+08,4.98e+08,1.464e+09,1e+06,NA,"ITW"
