"","Symbol","Price/Book Ratio","CurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Market.Capitalization","Earnings.Share","Shares.Outstanding","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","X.ticker."
"976","DIBS",2.69461692405576,6.42188567934098,NA,11.13,4.10819045406302,"1stdibs.com, Inc.",419285088,-1.314,37875800,"2021-09-30",167094000,4866000,178522000,NA,4585000,7199000,1212000,3540000,NA,195058000,14291000,3247000,NA,27799000,31046000,379000,-260395000,-232000,424260000,-232000,164012000,155601000,1400000,3713000,NA,NA,NA,NA,NA,"DIBS"
"977","DICE",2.12565256472887,26.7915094339623,NA,18.66,8.56678018592047,"DICE Therapeutics, Inc.",696193728,-11.116,38231400,"2021-09-30",311610000,2e+06,340788000,NA,1396000,NA,NA,198000,NA,342382000,NA,20000,NA,12720000,14862000,4000,-87512000,-2000,415030000,-2000,327520000,327520000,150000,4108000,NA,245000,24052000,NA,2122000,"DICE"
"978","DIOD",4.94454305480443,2.39276468934495,24.215376,101.44,20.191955697399,"Diodes Incorporated",4489155584,4.123,44963500,"2021-09-30",280543000,348688000,1063883000,NA,598104000,149592000,98570000,131760000,52436000,2041909000,35525000,134532000,61050000,444625000,824796000,36194000,1051296000,-395175000,463748000,-58281000,1156063000,907901000,22295000,195098000,NA,18503000,7364000,322088000,2.18e+08,"DIOD"
"979","DISA",-18.7754299560898,10.5659152617289,NA,10,-0.6504512,"Disruptive Acquisition Corporat",335843776,NA,27500000,"2021-09-30",420704,NA,836662,NA,NA,NA,NA,275203469,NA,276040131,NA,293848354,NA,79185,293927539,688,-17888096,NA,NA,NA,-17887408,-17887408,NA,79185,NA,NA,NA,NA,NA,"DISA"
"980","DISCA",-1.24190924488069,1.99580209895052,19.672241,29.43,-69.8112683255465,"Discovery, Inc. - Series A",14676883456,1.495,169284992,"2021-09-30",3.116e+09,2.462e+09,6.656e+09,1.446e+09,1.31e+09,1.2957e+10,1.0472e+10,1.477e+09,NA,3.4318e+10,7e+08,3.149e+09,1.787e+09,3.335e+09,2.092e+10,7e+06,9.522e+09,-8.961e+09,1.1043e+10,-7.17e+08,1.1611e+10,-1.1818e+10,3.3e+08,2.256e+09,NA,3.56e+08,1.9e+08,NA,1.4436e+10,"DISCA"
"981","DISCB",-1.18687474699611,1.99580209895052,26.688965,40.87,-1814.69754529066,"Discovery, Inc. - Series B",14026485760,1.495,6512380,"2021-09-30",3.116e+09,2.462e+09,6.656e+09,1.446e+09,1.31e+09,1.2957e+10,1.0472e+10,1.477e+09,NA,3.4318e+10,7e+08,3.149e+09,1.787e+09,3.335e+09,2.092e+10,7e+06,9.522e+09,-8.961e+09,1.1043e+10,-7.17e+08,1.1611e+10,-1.1818e+10,3.3e+08,2.256e+09,NA,3.56e+08,1.9e+08,NA,1.4436e+10,"DISCB"
"982","DISCK",-1.24356577153495,1.99580209895052,19.123745,28.54,-35.7962858030707,"Discovery, Inc. - Series C",14696460288,1.495,330145984,"2021-09-30",3.116e+09,2.462e+09,6.656e+09,1.446e+09,1.31e+09,1.2957e+10,1.0472e+10,1.477e+09,NA,3.4318e+10,7e+08,3.149e+09,1.787e+09,3.335e+09,2.092e+10,7e+06,9.522e+09,-8.961e+09,1.1043e+10,-7.17e+08,1.1611e+10,-1.1818e+10,3.3e+08,2.256e+09,NA,3.56e+08,1.9e+08,NA,1.4436e+10,"DISCK"
"983","DISH",-1.3214218103889,1.15361232483123,8.511662,35.45,-48.7875585275103,"DISH Network Corporation",18719590400,4.159,290366016,"2021-09-30",2280278000,1002052000,7278537000,155034000,3586942000,NA,29121043000,1072681000,NA,41214237000,2093521000,4609749000,383359000,6309344000,25876084000,5287000,10233288000,1204000,4715015000,1204000,14954794000,-14166249000,557836000,693184000,NA,2026908000,2967545000,470826000,14064980000,"DISH"
"984","DJCO",1.98050959586241,10.9471951076091,4.466961,383.15,184.422234292957,"Daily Journal Corp. (S.C.)",504318944,81.767,1380750,"2021-09-30",12596000,9524000,372336000,NA,10220000,NA,NA,8021000,8021000,390577000,23574000,68423000,NA,34012000,135936000,18000,252872000,-4000,1755000,NA,254641000,254641000,2043000,4239000,NA,147000,347573000,43000,33431000,"DJCO"
"985","DKDCA",-18.5695490265723,42.010042152244,NA,10.16,-0.673957700677683,"Data Knights Acquisition Corp.",151248624,NA,12085300,"2021-09-30",533706,NA,677706,NA,NA,NA,NA,117303691,NA,117981397,NA,126110246,NA,16132,126126378,347,-8145328,NA,NA,NA,-8144981,-8144981,NA,NA,NA,NA,NA,NA,NA,"DKDCA"
"986","DKNG",15.1624472387555,3.17591934529762,NA,25.71,1.68041479792654,"DraftKings Inc.",10357983232,-3.618,406527008,"2021-09-30",2394865000,45101000,2985072000,4808000,113318000,626090000,516943000,12826000,NA,4259057000,510261000,184293000,NA,939908000,2432890000,79000,-3427517000,-252303000,5505908000,50815000,1826167000,683134000,510286000,416537000,NA,NA,NA,NA,1247785000,"DKNG"
"987","DLCA",-12.7436046194482,0.982846006094154,NA,9.9,-0.957342946859903,"Deep Lake Capital Acquisition C",252540000,-0.188,20700000,"2021-09-30",1822099,NA,2268843,NA,NA,NA,NA,2.07e+08,NA,209268843,NA,226777400,NA,2308442,229085842,518,-19817517,NA,NA,NA,-19816999,-19816999,NA,16890,NA,NA,NA,NA,NA,"DLCA"
"988","DLHC",-5.60404513304143,0.930501988670604,27.9176,20.99,-3.73626546487026,"DLH Holdings Corp.",266214560,0.75,12714300,"2021-09-30",24051000,34442000,61763000,NA,21831000,65643000,47469000,464000,NA,197170000,22273000,1176000,NA,66376000,131562000,13000,-22298000,NA,87893000,NA,65608000,-47504000,NA,16684000,NA,NA,NA,NA,44636000,"DLHC"
"989","DLO",45.1204842687278,1.8067460750534,146.00458,31.76,1.29880601836321,"DLocal Limited",9433520128,0.219,160974000,"2021-09-30",293055000,149565000,463546000,NA,6273000,NA,45799000,252000,252000,515870000,20263000,655000,18000,256564000,260979000,590000,86204000,10928000,157151000,10928000,254873000,209074000,19317000,231472000,NA,NA,NA,NA,NA,"DLO"
"990","DLPN",-18.6590360558583,1.29415371274872,NA,7.7,-0.409453075543034,"Dolphin Entertainment, Inc.",61066976,-0.648,7993060,"2021-09-30",12652902,6227162,19951080,NA,7147101,20015800,6788152,231542,NA,54133675,7235027,1645000,NA,15416314,30601506,116528,-101752433,NA,125167074,NA,23531169,-3272783,1071016,810167,NA,904364,NA,NA,8008456,"DLPN"
"991","DLTH",2.37407981360835,1.77051540208217,14.078694,14.76,6.87921530862036,"Duluth Holdings Inc.",485026880,1.042,29698300,"2021-10-31",20390000,7731000,206628000,6598000,289609000,402000,3117000,1863000,NA,508217000,22027000,8092000,-2497000,116705000,302894000,94815000,113509000,-504000,NA,494000,207820000,204301000,1432000,59157000,NA,675000,NA,165078000,26773000,"DLTH"
"992","DLTR",14.2781568764763,1.25244686800895,23.06294,136.44,9.59787691815288,"Dollar Tree, Inc.",30827968512,5.942,224956000,"2021-10-30",701400000,NA,5374500000,NA,10801400000,1985300000,3.1e+09,128800000,22300000,2.139e+10,918400000,1472300000,NA,4291200000,14145600000,2200000,6053400000,-31300000,1220100000,-31300000,7244400000,2159100000,357100000,1984800000,NA,NA,NA,4.316e+09,3231100000,"DLTR"
"993","DMAC",1.92802228080619,29.887315270936,NA,3.45,1.77902508396623,"DiaMedica Therapeutics Inc.",90686456,-0.772,26439200,"2021-09-30",16219000,104000,48537000,NA,127000,NA,NA,NA,NA,48664000,23000,NA,NA,1624000,1628000,NA,-79255000,-5000,126296000,-5000,47036000,47036000,NA,699000,NA,NA,31878000,NA,NA,"DMAC"
"994","DMAQ",-1551.19058355945,10291.5641025641,NA,9.9,-Inf,"Deep Medicine Acquisition Corp.",162360016,-0.029,0,"2021-09-30",326371,NA,401371,NA,NA,NA,NA,NA,NA,401371,NA,6000,NA,39,506039,316,-154668,NA,49684,NA,-104668,-104668,NA,NA,NA,NA,NA,NA,5e+05,"DMAQ"
"995","DMLP",7.88674458445959,13.4775073746313,15.366942,22.3,2.84084272457875,"Dorchester Minerals, L.P.",828644480,1.458,36984800,"2021-09-30",22325000,14226000,36551000,NA,73755000,NA,NA,NA,NA,110306000,NA,NA,860000,2712000,4378000,105068000,NA,NA,NA,NA,105068000,105068000,NA,2419000,NA,NA,NA,NA,NA,"DMLP"
"996","DMRC",12.2831860925109,7.96803509871514,NA,38.46,3.11279189308268,"Digimarc Corporation",676889536,-2.838,17703400,"2021-09-30",25155000,4110000,50852000,8298000,4391000,1114000,6614000,683000,NA,71952000,2146000,1461000,NA,6382000,9067000,17000,-197767000,NA,260585000,NA,62835000,55107000,2550000,3513000,NA,NA,19037000,NA,NA,"DMRC"
"997","DMTK",1.72642655435633,23.5444948606352,NA,14.73,8.47727915146784,"DermTech, Inc.",434923104,-2.341,29717200,"2021-09-30",204061000,2819000,254257000,NA,12457000,NA,NA,3191000,NA,269905000,1357000,408000,NA,10799000,17984000,3000,-180311000,-8000,432237000,-8000,251921000,251921000,178000,2504000,NA,NA,45384000,424000,NA,"DMTK"
"998","DNAA",-49.81032372468,29.0695513017788,NA,9.95,-0.246952496099844,"Social Capital Suvretta Holding",315392096,NA,25640000,"2021-09-30",519568,NA,1416879,NA,NA,NA,NA,250003042,NA,251419921,38427,257703042,NA,48741,257751783,689,-6332551,NA,NA,NA,-6331862,-6331862,NA,NA,NA,NA,NA,NA,NA,"DNAA"
"999","DNAB",-49.6969314193084,25.9815810920945,NA,9.96,-0.246514898595944,"Social Capital Suvretta Holding",314116512,NA,25640000,"2021-09-30",534762,NA,1434573,NA,NA,NA,NA,250003042,NA,251437615,NA,257703042,NA,55215,257758257,689,-6321331,NA,NA,NA,-6320642,-6320642,NA,NA,NA,NA,NA,NA,NA,"DNAB"
"1000","DNAC",-49.6867163653747,26.1093075555878,NA,9.86,-0.246315249609984,"Social Capital Suvretta Holding",313797600,NA,25640000,"2021-09-30",542304,NA,1439615,NA,NA,NA,NA,250003042,NA,251442657,38178,257703042,NA,55138,257758180,689,-6316212,NA,NA,NA,-6315523,-6315523,NA,16960,NA,NA,NA,NA,NA,"DNAC"
"1001","DNAD",-49.5935052668986,26.4578663040682,NA,9.87,-0.246276599063963,"Social Capital Suvretta Holding",313159776,NA,25640000,"2021-09-30",542579,NA,1439890,NA,NA,NA,NA,250003042,NA,251442932,NA,257703042,NA,54422,257757464,689,-6315221,NA,NA,NA,-6314532,-6314532,NA,NA,NA,NA,NA,NA,NA,"DNAD"
"1002","DNAY",2.92237466204756,14.9277721261445,NA,9.8,3.31921848555986,"Codex DNA, Inc.",284279840,-2.645,29307200,"2021-09-30",109802000,2938000,117392000,NA,1468000,3497000,1988000,149000,NA,124494000,357000,204000,NA,7864000,21732000,5000,-52779000,NA,155536000,NA,102762000,97277000,NA,2213000,NA,941000,NA,1671000,13647000,"DNAY"
"1003","DNLI",4.141737615297,19.4560284603049,145.46611,33.89,8.28879190344398,"Denali Therapeutics Inc.",4192585728,0.236,122126000,"2021-09-30",394553000,1194000,1055509000,319472000,71208000,NA,NA,3777000,NA,1449966000,4762000,323448000,NA,54251000,437689000,1545000,-569735000,-521000,1580988000,-521000,1012277000,1012277000,NA,4817000,NA,NA,644622000,NA,NA,"DNLI"
