"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"14","AJX",0.559955075349796,2.13136386254109,0.983074268170364,7.0945425,10.92,16.4834648182575,"Great Ajax Corp.","2022-06-17 16:00:02",213987392,1.301,0.57861084,23183900,"USD","2021-12-31",84426000,1102577000,1237894000,521786000,NA,NA,NA,NA,1759680000,NA,NA,3178000,580799000,1259207000,233000,66427000,-671000,316162000,1020000,382151000,382151000,50891000,NA,NA,NA,NA,NA,NA,678408000,"AJX"
"15","ARI",0.609595202025811,68.2037889395147,1.34279195857447,8.341881,10.82,16.0106256582213,"Apollo Commercial Real Estate F","2022-06-17 16:01:13",1372168320,1.17,0.6093906,140591008,"USD","2022-03-31",215749000,8402688000,8816772000,NA,NA,NA,NA,246000,8817018000,96147000,30204000,NA,129271000,6566000000,1405000,-453809000,NA,2703354000,NA,2250950000,2250950000,157084000,NA,1506000,NA,NA,NA,NA,6406525000,"ARI"
"16","ASA",0.651653513506004,12.9593244951193,6.91534159966594,5.4467807,16.68,25.4429676670175,"ASA  Gold and Precious Metals L","2022-06-17 16:00:02",319826528,3.044,0.6516527,19289900,"USD","2022-02-28",4450857,293188,4819184,486670001,NA,NA,NA,NA,491489185,NA,325013,NA,371870,696883,19289905,470129897,NA,1372500,NA,490792302,490792302,NA,NA,NA,NA,NA,NA,NA,NA,"ASA"
"17","AXR",0.629598857358903,22.1213060057197,9.35506954243096,8.607976,17.88,18.1702990853595,"AMREP Corporation","2022-06-17 16:00:02",59949144,1.329,0.8788507,5240310,"USD","2022-01-31",27300000,323000,92821000,NA,149000,NA,NA,12170000,105140000,1740000,NA,NA,4196000,9922000,733000,53583000,-4423000,45325000,-4423000,95218000,95218000,NA,885000,1486000,NA,64786000,NA,NA,5726000,"AXR"
"18","BZH",0.421963511133643,8.5912141934264,1.40564889105931,1.9776329,11,25.144353033925,"Beazer Homes USA, Inc.","2022-06-17 16:00:02",333765120,5.365,0.40457577,31457600,"USD","2022-03-31",163905000,34155000,1908375000,4667000,34469000,11376000,NA,201117000,2160004000,12681000,74867000,NA,222131000,1357647000,31000,-61748000,NA,864074000,NA,802357000,790981000,33343000,190876000,147257000,NA,1676972000,NA,NA,1049895000,"BZH"
"19","CIM",0.512063694734675,3.67398197731795,1.08961948424894,11.00955,8.26,15.7597575174648,"Chimera Investment Corporation","2022-06-17 16:00:02",1912977280,0.733,0.573357,237048000,"USD","2021-12-31",385741000,12331439000,12717180000,2631903000,NA,NA,NA,58320000,15407403000,86152000,NA,NA,3461416000,11671212000,2370000,-1030650000,405054000,4359045000,405054000,3735819000,3735819000,NA,NA,488989000,NA,NA,2865859000,NA,8209796000,"CIM"
"20","CNO",0.383380916782326,2.07294439248975,0.186241908953714,5.4579673,17.42,45.385670771169,"CNO Financial Group, Inc.","2022-06-17 16:00:02",2016468608,3.188,0.5527143,115889000,"USD","2021-12-31",632100000,NA,5763200000,26788200000,48200000,NA,1334600000,2270200000,36204400000,1970800000,24418800000,NA,2780200000,30944700000,1200000,1127200000,1947100000,2184200000,1947100000,5259700000,5259700000,4903900000,112200000,501800000,NA,NA,285000000,NA,3716000000,"CNO"
"21","CULP",0.498529045576235,2.20272871567998,1.53772706376056,14.457143,8.3,10.1498596344767,"Culp, Inc.","2022-06-17 16:00:02",61823584,0.35,0.48780486,12218100,"USD","2022-01-30",11780000,39365000,130450000,8677000,59373000,NA,2722000,10345000,211567000,791000,17763000,NA,59222000,84833000,611000,83145000,88000,42890000,88000,126734000,124012000,4419000,500000,46690000,NA,73133000,NA,1753000,NA,"CULP"
"22","FINV",0.122433209859762,22.5208009309663,2.18301626032566,3.6636884,4.8,36.8364118315311,"FinVolution Group","2022-06-17 16:00:02",1286270080,1.231,0.11987349,285204000,"USD","2021-12-31",4418127000,3873122000,16217499000,971117000,161535000,50411000,98947000,639042000,18138551000,200648000,6692584000,54360000,720112000,7428941000,103000,5301354000,-340940000,5694733000,-16769000,10655250000,10505892000,6687640000,455741000,NA,NA,NA,NA,1204901000,NA,"FINV"
"23","GNW",0.115223903213217,9.8737322515213,0.234859176165491,2.0691712,3.75,30.1152784809595,"Genworth Financial Inc","2022-06-17 16:00:02",1771452288,1.677,0.1228362,510504992,"USD","2021-12-31",1571000000,NA,19471000000,62595000000,NA,NA,1282000000,15823000000,99171000000,1296000000,79034000000,756000000,1972000000,82905000000,1000000,2490000000,1161000000,11858000000,3861000000,15510000000,15374000000,17510000000,119000000,650000000,7000000,NA,26000000,26000000,1899000000,"GNW"
